,D,Dmin,Dmax,N_dpts,N_npts,Nmin,Nmax,T,T_fridge,T_probe,Bmin,Bmax,N_bpts
0,-0.00011764705882352942,-0.00011764705882352942,-0.00011764705882352942,(),(),0.0013003174964705882,0.0013003174964705882,541.0,,,,,
1,-0.0009411764705882353,-0.0009411764705882353,-0.0009411764705882353,(),(),0.010402539971764706,0.010402539971764706,56.5519587628866,,,,,
2,0.00047058823529411766,0.00047058823529411766,0.00047058823529411766,(),(),-0.005201269985882353,-0.005201269985882353,55.8598712446352,,,,,
3,-0.001411764705882353,-0.001411764705882353,-0.001411764705882353,(),(),0.01560380995764706,0.01560380995764706,54.26381443298968,,,,,
4,-0.001411764705882353,-0.001411764705882353,-0.001411764705882353,(),(),0.01560380995764706,0.01560380995764706,53.28199395770394,,,,,
5,0.001411764705882353,0.001411764705882353,0.001411764705882353,(),(),-0.01560380995764706,-0.01560380995764706,51.55597402597403,,,,,
6,-0.23168250299085516,-0.23168250299085516,-0.23168250299085516,(),(),-13.63162006920401,-13.63162006920401,50.78780219780221,,,,,
9,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,49.25865377855887,,,-1.0,-1.0,()
10,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,49.154061478090256,,,-1.0,-1.0,()
11,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.870860759493674,,,-1.0,-1.0,()
12,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.900000000000006,,,1.0,1.0,()
13,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.97777941973301,,,-1.0,-1.0,()
14,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.86954010435626,,,-40.0,-40.0,()
15,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.66974887467425,,,-40.0,-40.0,()
16,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.669999999999995,,,-1.0,-1.0,()
17,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.669999999999995,,,-40.0,-40.0,()
18,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.669999999999995,,,-1.0,-1.0,()
19,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.669999999999995,,,-1.0,-1.0,()
20,-0.22309391284952448,-0.22309391284952448,-0.22309391284952448,(),(),-12.774056758262319,-12.774056758262319,48.669999999999995,,,-1.0,-1.0,()
21,-0.19206379139039279,-0.19206379139039279,-0.19206379139039279,(),(),-11.212042521588353,-11.212042521588353,48.669999999999995,,,0.0,0.0,()
22,-0.19206379139039279,-0.19206379139039279,-0.19206379139039279,(),(),-11.212042521588353,-11.212042521588353,48.669999999999995,,,0.0,0.0,()
23,-0.22177038343775982,-0.22177038343775982,-0.22177038343775982,(),(),-12.788685330097614,-12.788685330097614,48.65362587349937,,,0.2,0.2,()
24,-0.19206379139039279,-0.19206379139039279,-0.19206379139039279,(),(),-11.212042521588353,-11.212042521588353,0.0,,,0.0,0.0,()
25,-0.17838696595494458,-0.17838696595494458,-0.17838696595494458,(),(),-10.410717942369017,-10.410717942369017,0.0,,,0.69,0.69,()
26,-0.0058823529411764705,-0.0058823529411764705,-0.0058823529411764705,(),(),0.06501587482352941,0.06501587482352941,0.0,,,,,
27,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
28,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
29,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
30,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
31,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
32,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
33,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
34,-0.17838696595494458,-0.17838696595494458,-0.17838696595494458,(),(),-10.410717942369017,-10.410717942369017,0.0,,,0.69,0.69,()
35,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
36,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
37,-0.16726903501835066,-0.16726903501835066,-0.16726903501835066,(),(),-9.771608755238255,-9.771608755238255,0.0,,,0.025,0.025,()
38,-0.000588235294117647,-0.000588235294117647,-0.000588235294117647,(),(),0.006501587482352941,0.006501587482352941,0.0,,,0.005,0.005,()
39,-0.000588235294117647,-0.000588235294117647,-0.000588235294117647,(),(),0.006501587482352941,0.006501587482352941,0.0,,,0.005,0.005,()
40,-0.17294564754547123,-0.17294564754547123,-0.17294564754547123,(),(),-10.089863031307166,-10.089863031307166,0.0,,,0.2,0.2,()
41,-0.17294564754547123,-0.17294564754547123,-0.17294564754547123,(),(),-10.089863031307166,-10.089863031307166,0.0,,,0.2,0.2,()
42,0.3468531870348967,0.24455816452744492,0.4483094267696738,"(4000,)","(4000,)",-3.485812569682396,-2.3625123903903322,0.0,,,,,
43,0.3468531870348967,0.24455816452744492,0.4483094267696738,"(4000,)","(4000,)",-3.485812569682396,-2.3625123903903322,0.0,,,,,
44,-0.055883772330028184,-0.055883772330028184,-0.055883772330028184,(),(),-3.192295141912639,-3.192295141912639,0.0,,,0.005,0.005,()
45,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,39.144019607843134,,,,,
46,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,36.95600000000001,,,,,
47,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,53.91023904382471,,,,,
48,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,51.65932270916335,,,,,
49,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,48.10717131474104,,,,,
50,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,47.01486055776892,,,,,
51,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,38.77780876494024,,,,,
52,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,53.83605577689243,,,,,
53,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,62.76095617529881,,,,,
54,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,44.821513944223106,,,,,
55,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,55.336892430278894,,,,,
56,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,51.725179282868524,,,,,
57,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,47.049461538461536,,,,,
58,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,44.78988047808765,,,,,
59,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,43.82956175298805,,,,,
60,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,42.61175298804781,,,,,
61,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,44.88067729083665,,,,,
62,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,54.258047808764935,,,,,
63,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,60.521314741035866,,,,,
64,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,59.04824701195219,,,,,
65,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.83211155378485,,,,,
66,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.82410358565737,,,,,
67,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.77884462151394,,,,,
68,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.831952191235054,,,,,
69,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.90541832669322,,,,,
70,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.77063745019921,,,,,
71,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.82621513944222,,,,,
72,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.794741035856575,,,,,
73,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.755219123505974,,,,,
74,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.7932669322709,,,,,
75,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.753266932270925,,,,,
76,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.76043824701195,,,,,
77,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,58.63203187250997,,,,,
78,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
79,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
80,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
81,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
82,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
83,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
84,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
85,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
86,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
87,-0.06956059776547643,-0.06956059776547643,-0.06956059776547643,(),(),-3.9936197211319753,-3.9936197211319753,0.0,,,,,
